OrderNumber,Sales Channel,WarehouseCode,ProcuredDate,OrderDate,ShipDate,DeliveryDate,CurrencyCode,_SalesTeamID,_CustomerID,_StoreID,_ProductID,Order Quantity,Discount Applied,Unit Cost,Unit Price
SO - 0005571,In-Store,WARE-PUJ1005,01/12/2019,09/03/2020,01/04/2020,06/04/2020,USD,1,15,265,1,0.97,0.2,556.1,1112.2
SO - 0005572,Online,WARE-MKL1006,01/12/2019,09/03/2020,28/03/2020,04/04/2020,USD,14,30,350,39,1,0.05,1730.61,3845.8
SO - 0005573,Online,WARE-PUJ1005,01/12/2019,09/03/2020,21/03/2020,26/03/2020,USD,20,46,276,10,5,0.05,1974.16,2378.5
SO - 0005574,Wholesale,WARE-PUJ1005,01/12/2019,09/03/2020,26/03/2020,05/04/2020,USD,27,36,307,36,2.96,0.05,1677.75,3289.7
SO - 0005575,Online,WARE-NMK1003,01/12/2019,09/03/2020,04/04/2020,06/04/2020,USD,17,38,116,20,6.01,0.4,1068.65,1842.5
SO - 0005576,Online,WARE-XYS1001,01/12/2019,09/03/2020,18/03/2020,27/03/2020,USD,17,15,53,14,2.01,0.1,2102.06,3892.7
SO - 0005577,In-Store,WARE-UHY1004,01/12/2019,09/03/2020,26/03/2020,28/03/2020,USD,8,48,206,2,2.01,0.15,1293.44,2351.7
SO - 0005578,Distributor,WARE-NMK1003,01/12/2019,09/03/2020,24/03/2020,01/04/2020,USD,24,25,202,42,3,0.15,1332.63,2613
SO - 0005579,In-Store,WARE-XYS1001,01/12/2019,09/03/2020,20/03/2020,22/03/2020,USD,12,47,22,24,2.99,0.08,899.81,1058.6
SO - 0005580,Wholesale,WARE-NMK1003,01/12/2019,10/03/2020,15/03/2020,24/03/2020,USD,26,25,199,36,4,0.1,76.92,187.6
SO - 0005581,In-Store,WARE-PUJ1005,01/12/2019,10/03/2020,06/04/2020,09/04/2020,USD,8,20,279,29,1.03,0.07,816.6,1855.9
SO - 0005582,In-Store,WARE-XYS1001,01/12/2019,10/03/2020,05/04/2020,08/04/2020,USD,8,17,1,24,8.02,0.05,1625.15,2539.3
SO - 0005583,Wholesale,WARE-PUJ1005,01/12/2019,10/03/2020,12/03/2020,15/03/2020,USD,26,12,275,45,3.93,0.15,567.49,810.7
SO - 0005584,In-Store,WARE-UHY1004,01/12/2019,10/03/2020,03/04/2020,04/04/2020,USD,5,16,204,40,4,0.05,138.82,187.6
SO - 0005585,In-Store,WARE-UHY1004,01/12/2019,10/03/2020,15/03/2020,16/03/2020,USD,7,49,258,19,2.01,0.07,1565.12,3912.8
SO - 0005586,In-Store,WARE-NMK1003,01/12/2019,10/03/2020,29/03/2020,01/04/2020,USD,8,38,192,11,0.99,0.05,209.04,268
SO - 0005587,In-Store,WARE-NMK1003,01/12/2019,11/03/2020,01/04/2020,06/04/2020,USD,11,35,181,30,4.98,0.05,2186.88,2572.8
SO - 0005588,Distributor,WARE-UHY1004,01/12/2019,11/03/2020,03/04/2020,10/04/2020,USD,23,49,259,19,3.97,0.05,933.91,1762.1
SO - 0005589,Distributor,WARE-NMK1003,01/12/2019,11/03/2020,29/03/2020,07/04/2020,USD,22,3,138,6,5.01,0.08,194.64,234.5
SO - 0005590,Online,WARE-NMK1003,01/12/2019,11/03/2020,06/04/2020,10/04/2020,USD,19,30,140,3,1.04,0.07,2528.38,4013.3
SO - 0005591,Online,WARE-NMK1003,01/12/2019,11/03/2020,20/03/2020,26/03/2020,USD,17,21,188,22,6.99,0.07,788.32,1065.3
SO - 0005592,In-Store,WARE-XYS1001,01/12/2019,11/03/2020,22/03/2020,28/03/2020,USD,6,27,46,14,4,0.08,922.99,1098.8
SO - 0005593,Online,WARE-MKL1006,01/12/2019,11/03/2020,19/03/2020,26/03/2020,USD,15,28,345,28,3.98,0.15,585.31,1045.2
SO - 0005594,Wholesale,WARE-NMK1003,01/12/2019,11/03/2020,24/03/2020,25/03/2020,USD,27,36,168,28,1,0.05,3397.57,6177.4
SO - 0005595,In-Store,WARE-NBV1002,01/12/2019,12/03/2020,25/03/2020,30/03/2020,USD,11,12,84,18,2.04,0.07,1997.34,3504.1
SO - 0005596,In-Store,WARE-NMK1003,01/12/2019,12/03/2020,21/03/2020,23/03/2020,USD,7,35,129,12,2.97,0.15,996.63,1172.5
SO - 0005597,Online,WARE-NMK1003,01/12/2019,12/03/2020,23/03/2020,31/03/2020,USD,15,24,134,40,2.04,0.2,4122.04,5353.3
SO - 0005598,Online,WARE-XYS1001,01/12/2019,12/03/2020,29/03/2020,03/04/2020,USD,17,7,44,33,5.01,0.05,182.24,268
SO - 0005599,Online,WARE-UHY1004,01/12/2019,12/03/2020,27/03/2020,01/04/2020,USD,17,39,224,30,6,0.05,4175.78,5567.7
SO - 0005600,In-Store,WARE-NMK1003,01/12/2019,12/03/2020,26/03/2020,27/03/2020,USD,9,48,111,6,7.03,0.05,505.18,971.5
SO - 0005601,Online,WARE-NMK1003,01/12/2019,12/03/2020,22/03/2020,28/03/2020,USD,20,14,161,30,5.97,0.15,1406.93,1695.1
SO - 0005602,Online,WARE-NMK1003,01/12/2019,13/03/2020,07/04/2020,16/04/2020,USD,14,9,137,14,5,0.05,174.2,268
SO - 0005603,Wholesale,WARE-PUJ1005,01/12/2019,13/03/2020,27/03/2020,01/04/2020,USD,28,28,268,11,5.97,0.07,1546.9,2974.8
SO - 0005604,In-Store,WARE-UHY1004,01/12/2019,13/03/2020,17/03/2020,20/03/2020,USD,2,4,215,18,2.05,0.15,2045.38,3859.2
SO - 0005605,Online,WARE-MKL1006,01/12/2019,13/03/2020,18/03/2020,28/03/2020,USD,16,41,333,44,7,0.05,561.13,837.5
SO - 0005606,Online,WARE-NBV1002,01/12/2019,13/03/2020,03/04/2020,08/04/2020,USD,15,5,82,21,4,0.15,769.16,1098.8
SO - 0005607,In-Store,WARE-UHY1004,01/12/2019,13/03/2020,23/03/2020,29/03/2020,USD,4,24,219,38,6.98,0.1,750.74,904.5
SO - 0005608,In-Store,WARE-MKL1006,01/12/2019,14/03/2020,23/03/2020,25/03/2020,USD,4,32,363,34,2,0.05,3166.69,5654.8
SO - 0005609,In-Store,WARE-XYS1001,01/12/2019,14/03/2020,11/04/2020,17/04/2020,USD,10,22,1,44,7.98,0.1,1903.87,3966.4
SO - 0005610,Distributor,WARE-NMK1003,01/12/2019,14/03/2020,19/03/2020,28/03/2020,USD,20,35,131,33,5.99,0.1,2708.94,3564.4
SO - 0005611,In-Store,WARE-NBV1002,01/12/2019,14/03/2020,10/04/2020,15/04/2020,USD,10,28,85,28,0.96,0.15,447.02,931.3
SO - 0005612,In-Store,WARE-NBV1002,01/12/2019,14/03/2020,29/03/2020,07/04/2020,USD,10,47,83,4,5.04,0.05,920.25,2244.5
SO - 0005613,In-Store,WARE-XYS1001,01/12/2019,14/03/2020,23/03/2020,26/03/2020,USD,4,11,25,6,3,0.05,1327.81,2458.9
SO - 0005614,In-Store,WARE-XYS1001,01/12/2019,14/03/2020,07/04/2020,12/04/2020,USD,7,27,1,30,2.02,0.08,1028.85,2338.3
SO - 0005615,In-Store,WARE-XYS1001,01/12/2019,14/03/2020,02/04/2020,11/04/2020,USD,10,40,4,28,6.96,0.1,2087.99,3939.6
SO - 0005616,Distributor,WARE-XYS1001,01/12/2019,15/03/2020,03/04/2020,12/04/2020,USD,23,10,7,39,1.04,0.05,1557.35,1996.6
SO - 0005617,Online,WARE-UHY1004,01/12/2019,15/03/2020,30/03/2020,01/04/2020,USD,14,31,213,32,4.01,0.1,4617.98,6157.3
SO - 0005618,In-Store,WARE-XYS1001,01/12/2019,15/03/2020,22/03/2020,28/03/2020,USD,2,50,28,33,2.02,0.1,1360.1,2345
SO - 0005619,Online,WARE-NBV1002,01/12/2019,15/03/2020,29/03/2020,02/04/2020,USD,20,26,80,15,3.01,0.07,121.94,174.2
SO - 0005620,Wholesale,WARE-NMK1003,01/12/2019,16/03/2020,11/04/2020,18/04/2020,USD,26,44,106,11,1.98,0.4,630.34,1286.4
SO - 0005621,In-Store,WARE-NMK1003,01/12/2019,16/03/2020,29/03/2020,05/04/2020,USD,4,16,108,9,3.99,0.3,3915.15,6023.3
SO - 0005622,Online,WARE-UHY1004,01/12/2019,16/03/2020,19/03/2020,28/03/2020,USD,12,49,219,15,5.02,0.1,1922.16,2633.1
SO - 0005623,Distributor,WARE-MKL1006,01/12/2019,16/03/2020,29/03/2020,31/03/2020,USD,21,34,335,13,6.02,0.15,166.83,201
SO - 0005624,Online,WARE-PUJ1005,01/12/2019,16/03/2020,05/04/2020,14/04/2020,USD,17,18,265,5,2.97,0.05,713.55,1005
SO - 0005625,In-Store,WARE-PUJ1005,01/12/2019,16/03/2020,03/04/2020,11/04/2020,USD,3,10,275,20,3.03,0.08,532.65,1005
SO - 0005626,In-Store,WARE-NMK1003,01/12/2019,17/03/2020,28/03/2020,07/04/2020,USD,1,27,105,9,0.98,0.3,93.8,187.6
SO - 0005627,Distributor,WARE-MKL1006,01/12/2019,17/03/2020,08/04/2020,15/04/2020,USD,22,33,354,11,7.01,0.05,850.63,1232.8
SO - 0005628,Wholesale,WARE-NMK1003,01/12/2019,17/03/2020,19/03/2020,26/03/2020,USD,27,42,179,41,7.03,0.1,2257.77,3892.7
SO - 0005629,Distributor,WARE-MKL1006,01/12/2019,17/03/2020,05/04/2020,15/04/2020,USD,21,40,339,27,7.96,0.07,3175.53,3872.6
SO - 0005630,In-Store,WARE-NMK1003,01/12/2019,17/03/2020,02/04/2020,07/04/2020,USD,4,46,179,40,3,0.05,984.63,2237.8
SO - 0005631,Online,WARE-NMK1003,01/12/2019,17/03/2020,04/04/2020,11/04/2020,USD,14,9,145,15,2.03,0.05,1889.13,2485.7
SO - 0005632,In-Store,WARE-NMK1003,01/12/2019,17/03/2020,04/04/2020,06/04/2020,USD,3,21,123,29,1.99,0.08,2778.83,3705.1
SO - 0005633,Online,WARE-NBV1002,01/12/2019,17/03/2020,21/03/2020,26/03/2020,USD,17,40,87,25,0.99,0.2,2307.35,3443.8
SO - 0005634,Wholesale,WARE-NMK1003,01/12/2019,17/03/2020,03/04/2020,13/04/2020,USD,26,46,111,26,2.02,0.2,1703.94,3872.6
SO - 0005635,Online,WARE-MKL1006,01/12/2019,17/03/2020,14/04/2020,17/04/2020,USD,14,27,356,29,1.97,0.05,1058.06,2519.2
SO - 0005636,In-Store,WARE-PUJ1005,01/12/2019,18/03/2020,04/04/2020,07/04/2020,USD,8,29,279,32,4.99,0.05,540.15,931.3
SO - 0005637,Distributor,WARE-UHY1004,01/12/2019,18/03/2020,13/04/2020,16/04/2020,USD,23,43,258,32,1.98,0.08,767.02,1065.3
SO - 0005638,In-Store,WARE-MKL1006,01/12/2019,18/03/2020,15/04/2020,25/04/2020,USD,10,14,357,15,2.96,0.15,1045.2,2613
SO - 0005639,In-Store,WARE-XYS1001,01/12/2019,18/03/2020,13/04/2020,15/04/2020,USD,8,1,13,43,1.99,0.07,186.8,227.8
SO - 0005640,In-Store,WARE-UHY1004,01/12/2019,18/03/2020,04/04/2020,14/04/2020,USD,2,38,215,13,4,0.4,630.34,1125.6
SO - 0005641,In-Store,WARE-NMK1003,01/12/2019,18/03/2020,07/04/2020,15/04/2020,USD,11,39,150,32,1.98,0.07,1457.25,2512.5
SO - 0005642,In-Store,WARE-NMK1003,01/12/2019,18/03/2020,12/04/2020,16/04/2020,USD,1,25,197,11,1.02,0.4,651.24,1085.4
SO - 0005643,In-Store,WARE-UHY1004,01/12/2019,18/03/2020,12/04/2020,15/04/2020,USD,9,32,205,33,5.04,0.07,87.1,167.5
SO - 0005644,In-Store,WARE-UHY1004,01/12/2019,18/03/2020,12/04/2020,15/04/2020,USD,2,12,260,23,7.04,0.07,794.55,1185.9
SO - 0005645,In-Store,WARE-NBV1002,01/12/2019,19/03/2020,29/03/2020,30/03/2020,USD,10,35,85,28,6.99,0.08,532.18,1132.3
SO - 0005646,In-Store,WARE-UHY1004,01/12/2019,19/03/2020,12/04/2020,19/04/2020,USD,12,46,250,5,6.98,0.2,445.01,1085.4
SO - 0005647,Online,WARE-NMK1003,01/12/2019,19/03/2020,31/03/2020,05/04/2020,USD,13,2,171,22,5,0.07,1206,2680
SO - 0005648,Online,WARE-XYS1001,01/12/2019,19/03/2020,09/04/2020,12/04/2020,USD,20,15,46,20,3.01,0.05,1785.95,2626.4
SO - 0005649,In-Store,WARE-PUJ1005,01/12/2019,19/03/2020,15/04/2020,17/04/2020,USD,8,40,283,18,2.98,0.05,1482.44,2003.3
SO - 0005650,In-Store,WARE-MKL1006,01/12/2019,19/03/2020,07/04/2020,08/04/2020,USD,10,43,349,9,3.98,0.15,1631.05,2398.6
SO - 0005651,Online,WARE-NMK1003,01/12/2019,19/03/2020,14/04/2020,21/04/2020,USD,20,39,96,8,7.01,0.2,704.77,1051.9
SO - 0005652,In-Store,WARE-NBV1002,01/12/2019,20/03/2020,14/04/2020,16/04/2020,USD,7,35,66,35,6.02,0.05,2431.3,3859.2
SO - 0005653,In-Store,WARE-NMK1003,01/12/2019,21/03/2020,14/04/2020,22/04/2020,USD,4,2,202,20,8.02,0.15,884.4,1768.8
SO - 0005654,Online,WARE-XYS1001,01/12/2019,21/03/2020,17/04/2020,20/04/2020,USD,17,10,26,16,1.98,0.4,632.15,743.7
SO - 0005655,Distributor,WARE-PUJ1005,01/12/2019,21/03/2020,12/04/2020,16/04/2020,USD,24,37,299,3,0.99,0.2,1028.12,1869.3
SO - 0005656,In-Store,WARE-XYS1001,01/12/2019,21/03/2020,04/04/2020,12/04/2020,USD,7,5,28,13,1.96,0.1,1025.64,2385.2
SO - 0005657,In-Store,WARE-NMK1003,01/12/2019,21/03/2020,29/03/2020,06/04/2020,USD,3,15,173,24,4.02,0.07,2160.08,3484
SO - 0005658,In-Store,WARE-UHY1004,01/12/2019,21/03/2020,04/04/2020,13/04/2020,USD,1,10,229,16,6.99,0.05,2517.19,3872.6
SO - 0005659,Distributor,WARE-NMK1003,01/12/2019,21/03/2020,06/04/2020,08/04/2020,USD,23,38,154,30,4.97,0.4,2419.57,3142.3
SO - 0005660,Wholesale,WARE-UHY1004,01/12/2019,21/03/2020,01/04/2020,11/04/2020,USD,28,11,257,2,2.96,0.1,2080.35,3852.5
SO - 0005661,In-Store,WARE-NMK1003,01/12/2019,21/03/2020,28/03/2020,01/04/2020,USD,3,32,198,41,8.03,0.07,715.96,917.9
SO - 0005662,Online,WARE-MKL1006,01/12/2019,21/03/2020,15/04/2020,21/04/2020,USD,15,21,343,20,5.98,0.2,147.74,234.5
SO - 0005663,Wholesale,WARE-NBV1002,01/12/2019,21/03/2020,14/04/2020,24/04/2020,USD,28,36,74,46,5.02,0.2,969.42,1829.1
SO - 0005664,Online,WARE-NMK1003,01/12/2019,21/03/2020,31/03/2020,07/04/2020,USD,13,38,193,20,3.99,0.05,2408.99,5125.5
SO - 0005665,In-Store,WARE-PUJ1005,01/12/2019,21/03/2020,23/03/2020,28/03/2020,USD,2,47,293,34,3,0.08,1531.22,1963.1
SO - 0005666,Distributor,WARE-NBV1002,01/12/2019,21/03/2020,09/04/2020,14/04/2020,USD,23,1,70,8,3.99,0.3,78.73,167.5
SO - 0005667,Distributor,WARE-UHY1004,01/12/2019,22/03/2020,19/04/2020,26/04/2020,USD,23,34,225,10,4.01,0.1,2776.48,3966.4
SO - 0005668,In-Store,WARE-MKL1006,01/12/2019,22/03/2020,05/04/2020,11/04/2020,USD,8,45,367,30,2.99,0.07,577.81,1031.8
SO - 0005669,Wholesale,WARE-NMK1003,01/12/2019,22/03/2020,14/04/2020,16/04/2020,USD,26,35,188,34,6.98,0.05,145.79,227.8
SO - 0005670,Distributor,WARE-PUJ1005,01/12/2019,22/03/2020,05/04/2020,07/04/2020,USD,22,15,319,25,8.01,0.1,2335.62,3892.7
SO - 0005671,Distributor,WARE-NMK1003,01/12/2019,22/03/2020,29/03/2020,02/04/2020,USD,23,15,112,12,1.99,0.1,1042.72,1319.9
SO - 0005672,In-Store,WARE-MKL1006,01/12/2019,22/03/2020,17/04/2020,24/04/2020,USD,3,48,360,18,5.01,0.1,958.64,1313.2
SO - 0005673,In-Store,WARE-UHY1004,01/12/2019,22/03/2020,13/04/2020,22/04/2020,USD,11,8,249,1,2.02,0.2,2251.2,3001.6
SO - 0005674,Online,WARE-NMK1003,01/12/2019,22/03/2020,14/04/2020,22/04/2020,USD,18,22,129,8,8,0.1,187.6,234.5
SO - 0005675,Online,WARE-NBV1002,01/12/2019,22/03/2020,02/04/2020,09/04/2020,USD,14,29,71,43,3.99,0.05,596.57,1125.6
SO - 0005676,In-Store,WARE-NMK1003,01/12/2019,23/03/2020,25/03/2020,26/03/2020,USD,7,8,191,42,7.97,0.2,682.33,1018.4
SO - 0005677,Online,WARE-UHY1004,01/12/2019,23/03/2020,07/04/2020,09/04/2020,USD,13,27,240,15,4.02,0.08,4637.87,5587.8
SO - 0005678,In-Store,WARE-PUJ1005,01/12/2019,23/03/2020,17/04/2020,25/04/2020,USD,5,27,304,4,0.99,0.05,543.57,891.1
SO - 0005679,In-Store,WARE-PUJ1005,01/12/2019,23/03/2020,03/04/2020,12/04/2020,USD,1,43,291,3,5.01,0.05,783.23,1118.9
SO - 0005680,Online,WARE-MKL1006,01/12/2019,24/03/2020,18/04/2020,23/04/2020,USD,13,47,335,2,3.99,0.3,1096.66,1768.8
SO - 0005681,Online,WARE-NBV1002,01/12/2019,24/03/2020,17/04/2020,18/04/2020,USD,20,35,68,13,3.02,0.05,699.28,984.9
SO - 0005682,In-Store,WARE-NMK1003,01/12/2019,24/03/2020,20/04/2020,30/04/2020,USD,2,42,153,16,4.97,0.1,491.24,1045.2
SO - 0005683,Online,WARE-PUJ1005,01/12/2019,24/03/2020,31/03/2020,09/04/2020,USD,19,45,288,11,6.99,0.05,3151.68,3939.6
SO - 0005684,Wholesale,WARE-MKL1006,01/12/2019,24/03/2020,31/03/2020,08/04/2020,USD,27,11,332,40,1.98,0.1,1291.22,2934.6
SO - 0005685,In-Store,WARE-NMK1003,01/12/2019,24/03/2020,20/04/2020,30/04/2020,USD,7,46,198,5,1.03,0.05,3261.02,6271.2
SO - 0005686,Online,WARE-UHY1004,01/12/2019,24/03/2020,26/03/2020,05/04/2020,USD,17,14,211,13,3.99,0.05,2253.21,3819
SO - 0005687,Distributor,WARE-PUJ1005,01/12/2019,24/03/2020,14/04/2020,24/04/2020,USD,21,23,312,16,7.96,0.05,1439.16,2398.6
SO - 0005688,Distributor,WARE-NMK1003,01/12/2019,24/03/2020,09/04/2020,11/04/2020,USD,24,3,96,8,6.01,0.4,2473.51,3926.2
SO - 0005689,Online,WARE-XYS1001,01/12/2019,24/03/2020,31/03/2020,07/04/2020,USD,17,1,5,28,1,0.05,783.36,1058.6
SO - 0005690,Distributor,WARE-PUJ1005,01/12/2019,24/03/2020,03/04/2020,06/04/2020,USD,22,13,276,33,1.95,0.1,683.4,804
SO - 0005691,Distributor,WARE-PUJ1005,01/12/2019,24/03/2020,26/03/2020,02/04/2020,USD,21,46,282,30,1,0.15,945.5,1125.6
SO - 0005692,Online,WARE-NMK1003,01/12/2019,25/03/2020,28/03/2020,04/04/2020,USD,17,32,184,31,8.03,0.2,2417.83,3504.1
SO - 0005693,In-Store,WARE-UHY1004,01/12/2019,25/03/2020,19/04/2020,22/04/2020,USD,2,32,230,4,0.96,0.2,2311.5,3082
SO - 0005694,In-Store,WARE-NBV1002,01/12/2019,25/03/2020,29/03/2020,07/04/2020,USD,8,32,80,28,6.02,0.07,678.04,1695.1
SO - 0005695,Distributor,WARE-UHY1004,01/12/2019,25/03/2020,06/04/2020,11/04/2020,USD,23,15,255,7,8,0.05,4055.18,5406.9
SO - 0005696,In-Store,WARE-MKL1006,01/12/2019,25/03/2020,13/04/2020,16/04/2020,USD,1,13,335,45,0.98,0.4,1434.4,1815.7
SO - 0005697,In-Store,WARE-XYS1001,01/12/2019,25/03/2020,13/04/2020,19/04/2020,USD,5,43,12,47,7.04,0.2,1189.92,1983.2
SO - 0005698,In-Store,WARE-NMK1003,01/12/2019,25/03/2020,19/04/2020,20/04/2020,USD,3,50,110,37,1.04,0.05,114.24,207.7
SO - 0005699,In-Store,WARE-PUJ1005,01/12/2019,26/03/2020,17/04/2020,26/04/2020,USD,7,18,294,1,8,0.08,2803.55,6371.7
SO - 0005700,In-Store,WARE-PUJ1005,01/12/2019,26/03/2020,13/04/2020,22/04/2020,USD,6,41,310,6,5,0.05,455.2,1058.6
SO - 0005701,Online,WARE-PUJ1005,01/12/2019,26/03/2020,13/04/2020,20/04/2020,USD,12,1,287,17,3.01,0.08,2796.92,5085.3
SO - 0005702,In-Store,WARE-UHY1004,01/12/2019,26/03/2020,08/04/2020,15/04/2020,USD,6,9,249,11,7.02,0.4,1839.02,3912.8
SO - 0005703,Online,WARE-XYS1001,01/12/2019,27/03/2020,11/04/2020,14/04/2020,USD,14,10,14,17,6.98,0.1,571.71,1078.7
SO - 0005704,Distributor,WARE-NBV1002,01/12/2019,27/03/2020,03/04/2020,13/04/2020,USD,25,25,73,20,8.04,0.2,920.98,1165.8
SO - 0005705,In-Store,WARE-PUJ1005,01/12/2019,27/03/2020,01/04/2020,10/04/2020,USD,11,37,265,37,5,0.1,863.76,1963.1
SO - 0005706,Online,WARE-XYS1001,01/12/2019,27/03/2020,01/04/2020,11/04/2020,USD,14,1,36,7,3.03,0.2,616.27,844.2
SO - 0005707,In-Store,WARE-NMK1003,01/12/2019,27/03/2020,16/04/2020,23/04/2020,USD,7,41,107,11,3.99,0.15,2737.82,5165.7
SO - 0005708,In-Store,WARE-NBV1002,01/12/2019,27/03/2020,31/03/2020,02/04/2020,USD,2,25,72,10,2.03,0.15,2063.13,2485.7
SO - 0005709,Wholesale,WARE-PUJ1005,01/12/2019,28/03/2020,07/04/2020,15/04/2020,USD,27,19,274,27,3.02,0.1,846.61,1045.2
SO - 0005710,Wholesale,WARE-NBV1002,01/12/2019,28/03/2020,09/04/2020,10/04/2020,USD,27,20,80,34,2.03,0.08,1532.96,2358.4
SO - 0005711,Distributor,WARE-UHY1004,01/12/2019,28/03/2020,18/04/2020,22/04/2020,USD,23,8,229,44,2.01,0.1,751.74,1252.9
SO - 0005712,Distributor,WARE-NMK1003,01/12/2019,28/03/2020,17/04/2020,26/04/2020,USD,21,18,149,4,3.04,0.05,825.71,1058.6
SO - 0005713,Distributor,WARE-PUJ1005,01/12/2019,28/03/2020,20/04/2020,27/04/2020,USD,21,22,264,6,7.01,0.2,1387.3,2391.9
SO - 0005714,In-Store,WARE-PUJ1005,01/12/2019,28/03/2020,10/04/2020,12/04/2020,USD,4,24,275,40,3.98,0.08,117.25,167.5
SO - 0005715,Distributor,WARE-MKL1006,01/12/2019,28/03/2020,04/04/2020,11/04/2020,USD,25,13,339,26,8.02,0.05,116.31,187.6
SO - 0005716,In-Store,WARE-XYS1001,01/12/2019,28/03/2020,16/04/2020,19/04/2020,USD,5,11,1,22,6.03,0.05,189.95,234.5
SO - 0005717,In-Store,WARE-UHY1004,01/12/2019,28/03/2020,12/04/2020,16/04/2020,USD,1,29,245,24,5.02,0.05,1518.15,1829.1
SO - 0005718,Distributor,WARE-MKL1006,01/12/2019,28/03/2020,12/04/2020,18/04/2020,USD,24,12,332,14,5,0.07,353.76,737
SO - 0005719,In-Store,WARE-UHY1004,01/12/2019,29/03/2020,14/04/2020,24/04/2020,USD,5,38,257,30,4.99,0.05,1740.26,2231.1
SO - 0005720,Wholesale,WARE-NMK1003,01/12/2019,29/03/2020,13/04/2020,19/04/2020,USD,28,26,104,11,2,0.2,1608,2680
SO - 0005721,Online,WARE-NMK1003,01/12/2019,29/03/2020,02/04/2020,08/04/2020,USD,18,25,106,22,5.98,0.1,3125.15,4006.6
SO - 0005722,In-Store,WARE-MKL1006,01/12/2019,29/03/2020,07/04/2020,13/04/2020,USD,6,13,346,45,6.05,0.1,498.48,1038.5
SO - 0005723,Distributor,WARE-XYS1001,01/12/2019,29/03/2020,15/04/2020,18/04/2020,USD,25,29,58,13,8.02,0.07,80.67,187.6
SO - 0005724,Distributor,WARE-NMK1003,01/12/2019,29/03/2020,20/04/2020,21/04/2020,USD,25,43,156,30,5.02,0.1,386.12,757.1
SO - 0005725,In-Store,WARE-UHY1004,01/12/2019,29/03/2020,13/04/2020,19/04/2020,USD,7,23,213,22,2.94,0.2,360.19,857.6
SO - 0005726,Online,WARE-XYS1001,01/12/2019,29/03/2020,02/04/2020,03/04/2020,USD,19,33,57,23,7,0.08,4268.84,5768.7
SO - 0005727,Distributor,WARE-NMK1003,01/12/2019,29/03/2020,04/04/2020,13/04/2020,USD,22,40,195,18,4.04,0.05,1695.64,2291.4
SO - 0005728,Online,WARE-NMK1003,01/12/2019,29/03/2020,24/04/2020,29/04/2020,USD,13,9,191,28,4.01,0.1,444.21,871
SO - 0005729,Wholesale,WARE-PUJ1005,01/12/2019,29/03/2020,08/04/2020,18/04/2020,USD,26,36,311,6,2.01,0.4,1836.34,3825.7
SO - 0005730,Online,WARE-MKL1006,01/12/2019,29/03/2020,26/04/2020,01/05/2020,USD,19,22,341,4,6.01,0.4,3339.41,6184.1
SO - 0005731,In-Store,WARE-UHY1004,01/12/2019,29/03/2020,31/03/2020,10/04/2020,USD,2,1,251,5,2.98,0.07,1667.09,2874.3
SO - 0005732,In-Store,WARE-PUJ1005,01/12/2019,30/03/2020,01/04/2020,08/04/2020,USD,7,6,304,4,2.02,0.05,1197.96,1996.6
SO - 0005733,Distributor,WARE-PUJ1005,01/12/2019,30/03/2020,06/04/2020,10/04/2020,USD,25,22,326,40,6.96,0.08,1636.14,2726.9
SO - 0005734,In-Store,WARE-NBV1002,01/12/2019,30/03/2020,25/04/2020,02/05/2020,USD,3,49,75,28,3.03,0.07,468.13,917.9
SO - 0005735,In-Store,WARE-MKL1006,01/12/2019,30/03/2020,21/04/2020,22/04/2020,USD,4,32,334,36,2.03,0.05,803.2,1085.4
SO - 0005736,In-Store,WARE-NMK1003,01/12/2019,30/03/2020,08/04/2020,12/04/2020,USD,2,34,100,40,1.98,0.1,86.83,180.9
SO - 0005737,Online,WARE-NMK1003,01/12/2019,30/03/2020,18/04/2020,27/04/2020,USD,13,34,165,34,5.02,0.05,1639.62,3564.4
SO - 0005738,Online,WARE-XYS1001,01/12/2019,30/03/2020,20/04/2020,25/04/2020,USD,14,40,23,39,7.01,0.07,1735.3,2479
SO - 0005739,Distributor,WARE-XYS1001,01/12/2019,30/03/2020,18/04/2020,25/04/2020,USD,23,37,2,33,2.02,0.08,600.12,1132.3
SO - 0005740,Online,WARE-NMK1003,01/12/2019,30/03/2020,22/04/2020,27/04/2020,USD,18,3,96,15,4.01,0.07,1502.48,2311.5
SO - 0005741,In-Store,WARE-MKL1006,01/12/2019,30/03/2020,13/04/2020,23/04/2020,USD,12,43,335,31,1.99,0.3,2207.32,4013.3
SO - 0005742,In-Store,WARE-UHY1004,01/12/2019,31/03/2020,10/04/2020,19/04/2020,USD,4,27,233,8,5.03,0.08,1217.93,1996.6
SO - 0005743,Online,WARE-UHY1004,01/12/2019,31/03/2020,15/04/2020,18/04/2020,USD,18,42,230,30,4.96,0.05,493.12,1232.8
SO - 0005744,In-Store,WARE-UHY1004,01/12/2019,31/03/2020,20/04/2020,30/04/2020,USD,7,44,235,45,2.02,0.1,1388.51,3155.7
SO - 0005745,Online,WARE-NMK1003,01/12/2019,31/03/2020,26/04/2020,29/04/2020,USD,13,11,104,34,2,0.05,497.14,710.2
SO - 0005746,Online,WARE-NMK1003,01/12/2019,31/03/2020,05/04/2020,14/04/2020,USD,12,16,90,15,7.02,0.05,3844.46,5058.5
SO - 0005747,Online,WARE-PUJ1005,01/12/2019,31/03/2020,17/04/2020,20/04/2020,USD,17,14,314,8,7.03,0.05,747.72,1206
