OrderNumber,Sales Channel,WarehouseCode,ProcuredDate,OrderDate,ShipDate,DeliveryDate,Delivery_days,CurrencyCode,_SalesTeamID,_CustomerID,_StoreID,_ProductID,Order Quantity,Discount Applied,Unit Cost(In USD),Unit Price(in USD),USD_rate,Unit_priceinINR,Unit_costinINR
SO - 0002216,Online,WARE-NMK1003,27-Oct-2018,29-Jan-2019,9-Feb-2019,12-Feb-2019,3,USD,13,4,115,27,3,0.1,492.45,984.9,88,86671.2,43335.6
SO - 0002217,Wholesale,WARE-XYS1001,27-Oct-2018,29-Jan-2019,14-Feb-2019,23-Feb-2019,9,USD,26,21,7,1,1,0.075,483.47,"1,098.80",88,96694.4,42545.36
SO - 0002218,In-Store,WARE-NMK1003,27-Oct-2018,30-Jan-2019,18-Feb-2019,28-Feb-2019,10,USD,5,34,101,24,7,0.1,577.41,931.3,88,81954.4,50812.08
SO - 0002219,Online,WARE-UHY1004,27-Oct-2018,30-Jan-2019,24-Feb-2019,1-Mar-2019,5,USD,18,41,214,3,1,0.075,"4,456.71","5,641.40",88,496443.2,392190.48
SO - 0002220,Distributor,WARE-PUJ1005,27-Oct-2018,30-Jan-2019,22-Feb-2019,27-Feb-2019,5,USD,21,28,316,2,1,0.15,788.32,"1,065.30",88,93746.4,69372.16
SO - 0002221,In-Store,WARE-XYS1001,27-Oct-2018,30-Jan-2019,8-Feb-2019,14-Feb-2019,6,USD,8,7,42,4,5,0.1,857.47,"1,058.60",88,93156.8,75457.36
SO - 0002222,Wholesale,WARE-XYS1001,27-Oct-2018,30-Jan-2019,19-Feb-2019,28-Feb-2019,9,USD,27,19,7,9,6,0.1,902.83,"1,842.50",88,162140,79449.04
SO - 0002223,In-Store,WARE-NMK1003,27-Oct-2018,31-Jan-2019,19-Feb-2019,21-Feb-2019,2,USD,2,21,183,22,7,0.075,"1,619.26","2,840.80",88,249990.4,142494.88
SO - 0002224,In-Store,WARE-MKL1006,27-Oct-2018,31-Jan-2019,25-Feb-2019,7-Mar-2019,10,USD,10,48,338,25,4,0.075,"2,020.72","3,886.00",88,341968,177823.36
SO - 0002225,Wholesale,WARE-PUJ1005,27-Oct-2018,31-Jan-2019,13-Feb-2019,14-Feb-2019,1,USD,26,26,279,28,6,0.075,"1,084.19","1,869.30",88,164498.4,95408.72
SO - 0002226,Distributor,WARE-PUJ1005,27-Oct-2018,31-Jan-2019,21-Feb-2019,3-Mar-2019,10,USD,21,30,320,44,7,0.075,825.44,"1,072.00",88,94336,72638.72
SO - 0002227,Online,WARE-PUJ1005,27-Oct-2018,31-Jan-2019,24-Feb-2019,28-Feb-2019,4,USD,16,41,304,42,4,0.15,857.94,"1,319.90",88,116151.2,75498.72
SO - 0002228,Online,WARE-NMK1003,27-Oct-2018,31-Jan-2019,22-Feb-2019,2-Mar-2019,8,USD,13,39,195,36,5,0.15,"1,762.90","3,832.40",88,337251.2,155135.2
SO - 0002229,In-Store,WARE-NMK1003,27-Oct-2018,31-Jan-2019,24-Feb-2019,25-Feb-2019,1,USD,7,14,145,37,5,0.3,"2,069.50","2,653.20",88,233481.6,182116
SO - 0002230,In-Store,WARE-PUJ1005,27-Oct-2018,1-Feb-2019,1-Mar-2019,10-Mar-2019,9,USD,2,4,302,42,1,0.4,"1,149.18","1,715.20",88,150937.6,101127.84
SO - 0002231,Wholesale,WARE-UHY1004,27-Oct-2018,1-Feb-2019,10-Feb-2019,14-Feb-2019,4,USD,26,22,242,22,6,0.1,"1,615.44","3,437.10",88,302464.8,142158.72
SO - 0002232,Online,WARE-NBV1002,27-Oct-2018,1-Feb-2019,10-Feb-2019,11-Feb-2019,1,USD,16,4,84,35,1,0.3,"2,581.18","3,852.50",88,339020,227143.84
SO - 0002233,Online,WARE-MKL1006,27-Oct-2018,1-Feb-2019,21-Feb-2019,23-Feb-2019,2,USD,16,6,355,46,5,0.05,"1,552.12","1,989.90",88,175111.2,136586.56
SO - 0002234,Online,WARE-NMK1003,27-Oct-2018,1-Feb-2019,28-Feb-2019,4-Mar-2019,4,USD,14,23,124,17,3,0.05,827.99,"1,118.90",88,98463.2,72863.12
SO - 0002235,Distributor,WARE-UHY1004,27-Oct-2018,2-Feb-2019,7-Feb-2019,12-Feb-2019,5,USD,21,40,243,15,2,0.075,709.87,"1,092.10",88,96104.8,62468.56
SO - 0002236,In-Store,WARE-PUJ1005,27-Oct-2018,2-Feb-2019,12-Feb-2019,15-Feb-2019,3,USD,2,29,301,35,7,0.05,"1,154.54","2,405.30",88,211666.4,101599.52
SO - 0002237,Online,WARE-UHY1004,27-Oct-2018,2-Feb-2019,11-Feb-2019,21-Feb-2019,10,USD,12,4,235,25,2,0.4,446.56,"1,038.50",88,91388,39297.28
SO - 0002238,Wholesale,WARE-NMK1003,27-Oct-2018,2-Feb-2019,10-Feb-2019,11-Feb-2019,1,USD,26,21,90,8,6,0.1,546.85,"1,031.80",88,90798.4,48122.8
SO - 0002239,Online,WARE-NMK1003,27-Oct-2018,2-Feb-2019,18-Feb-2019,24-Feb-2019,6,USD,18,29,154,32,5,0.05,"1,443.58","2,532.60",88,222868.8,127035.04
SO - 0002240,In-Store,WARE-NMK1003,27-Oct-2018,3-Feb-2019,26-Feb-2019,8-Mar-2019,10,USD,5,31,139,27,2,0.1,"1,557.15","2,552.70",88,224637.6,137029.2
SO - 0002241,In-Store,WARE-PUJ1005,27-Oct-2018,3-Feb-2019,5-Feb-2019,12-Feb-2019,7,USD,4,9,272,19,3,0.05,829.06,"1,802.30",88,158602.4,72957.28
SO - 0002242,In-Store,WARE-PUJ1005,27-Oct-2018,3-Feb-2019,19-Feb-2019,1-Mar-2019,10,USD,1,40,321,28,7,0.1,694.66,"1,085.40",88,95515.2,61130.08
SO - 0002243,Wholesale,WARE-MKL1006,27-Oct-2018,3-Feb-2019,26-Feb-2019,1-Mar-2019,3,USD,26,35,363,24,4,0.15,"2,354.38","3,363.40",88,295979.2,207185.44
SO - 0002244,Distributor,WARE-NMK1003,27-Oct-2018,3-Feb-2019,23-Feb-2019,24-Feb-2019,1,USD,24,32,193,47,5,0.05,"2,280.68","5,701.70",88,501749.6,200699.84
SO - 0002245,Online,WARE-MKL1006,27-Oct-2018,3-Feb-2019,24-Feb-2019,2-Mar-2019,6,USD,15,6,353,32,4,0.2,125.42,174.2,88,15329.6,11036.96
SO - 0002246,Distributor,WARE-NMK1003,27-Oct-2018,3-Feb-2019,3-Mar-2019,9-Mar-2019,6,USD,24,11,168,21,2,0.1,671.14,"1,065.30",88,93746.4,59060.32
SO - 0002247,Online,WARE-PUJ1005,27-Oct-2018,3-Feb-2019,15-Feb-2019,25-Feb-2019,10,USD,18,46,276,9,6,0.1,928.62,"1,105.50",88,97284,81718.56
SO - 0002248,In-Store,WARE-MKL1006,27-Oct-2018,3-Feb-2019,16-Feb-2019,24-Feb-2019,8,USD,7,40,348,19,5,0.15,108.88,167.5,88,14740,9581.44
SO - 0002249,Wholesale,WARE-PUJ1005,27-Oct-2018,4-Feb-2019,16-Feb-2019,23-Feb-2019,7,USD,26,24,300,22,7,0.1,"3,001.60","3,752.00",88,330176,264140.8
SO - 0002250,Wholesale,WARE-PUJ1005,27-Oct-2018,4-Feb-2019,18-Feb-2019,21-Feb-2019,3,USD,28,41,279,19,6,0.075,576.87,703.5,88,61908,50764.56
SO - 0002251,Online,WARE-NMK1003,27-Oct-2018,4-Feb-2019,18-Feb-2019,26-Feb-2019,8,USD,13,19,174,27,4,0.05,772.11,"1,795.60",88,158012.8,67945.68
SO - 0002252,In-Store,WARE-XYS1001,27-Oct-2018,4-Feb-2019,13-Feb-2019,20-Feb-2019,7,USD,9,45,56,36,1,0.05,"2,300.65","3,899.40",88,343147.2,202457.2
SO - 0002253,Online,WARE-NMK1003,27-Oct-2018,4-Feb-2019,4-Mar-2019,7-Mar-2019,3,USD,14,48,130,6,1,0.075,803.2,991.6,88,87260.8,70681.6
SO - 0002254,Online,WARE-MKL1006,27-Oct-2018,4-Feb-2019,23-Feb-2019,27-Feb-2019,4,USD,16,13,357,25,1,0.15,"1,193.47","2,539.30",88,223458.4,105025.36
SO - 0002255,In-Store,WARE-UHY1004,27-Oct-2018,4-Feb-2019,21-Feb-2019,24-Feb-2019,3,USD,8,34,236,12,1,0.075,704.77,"1,051.90",88,92567.2,62019.76
SO - 0002256,In-Store,WARE-NMK1003,27-Oct-2018,5-Feb-2019,1-Mar-2019,5-Mar-2019,4,USD,12,24,178,41,3,0.2,501.16,911.2,88,80185.6,44102.08
SO - 0002257,Online,WARE-XYS1001,27-Oct-2018,5-Feb-2019,19-Feb-2019,28-Feb-2019,9,USD,18,2,30,25,3,0.075,"3,325.88","3,912.80",88,344326.4,292677.44
SO - 0002258,Distributor,WARE-PUJ1005,27-Oct-2018,5-Feb-2019,3-Mar-2019,6-Mar-2019,3,USD,23,48,312,7,5,0.075,708.79,998.3,88,87850.4,62373.52
SO - 0002259,Distributor,WARE-XYS1001,27-Oct-2018,5-Feb-2019,8-Feb-2019,14-Feb-2019,6,USD,21,2,17,3,6,0.05,433.36,"1,031.80",88,90798.4,38135.68
SO - 0002260,Distributor,WARE-NMK1003,27-Oct-2018,5-Feb-2019,19-Feb-2019,1-Mar-2019,10,USD,21,10,147,39,4,0.1,"1,459.46","2,753.70",88,242325.6,128432.48
SO - 0002261,Wholesale,WARE-NBV1002,27-Oct-2018,5-Feb-2019,8-Feb-2019,12-Feb-2019,4,USD,26,36,76,41,7,0.4,143.05,234.5,88,20636,12588.4
SO - 0002262,Online,WARE-XYS1001,27-Oct-2018,5-Feb-2019,14-Feb-2019,24-Feb-2019,10,USD,20,35,42,42,2,0.05,702.03,"1,132.30",88,99642.4,61778.64
SO - 0002263,In-Store,WARE-UHY1004,27-Oct-2018,5-Feb-2019,27-Feb-2019,2-Mar-2019,3,USD,5,37,219,39,2,0.1,449.97,978.2,88,86081.6,39597.36
SO - 0002264,In-Store,WARE-MKL1006,27-Oct-2018,5-Feb-2019,8-Feb-2019,18-Feb-2019,10,USD,8,26,359,29,6,0.075,"1,938.58","2,619.70",88,230533.6,170595.04
SO - 0002265,Wholesale,WARE-XYS1001,27-Oct-2018,5-Feb-2019,21-Feb-2019,2-Mar-2019,9,USD,26,33,21,16,7,0.15,528.56,"1,078.70",88,94925.6,46513.28
SO - 0002266,Wholesale,WARE-XYS1001,27-Oct-2018,5-Feb-2019,1-Mar-2019,3-Mar-2019,2,USD,28,16,29,5,2,0.05,804.8,"1,829.10",88,160960.8,70822.4
SO - 0002267,Distributor,WARE-NMK1003,27-Oct-2018,6-Feb-2019,5-Mar-2019,13-Mar-2019,8,USD,21,42,149,22,1,0.05,508.87,"1,038.50",88,91388,44780.56
SO - 0002268,Online,WARE-UHY1004,27-Oct-2018,6-Feb-2019,26-Feb-2019,8-Mar-2019,10,USD,19,31,249,9,5,0.05,"1,894.22","3,946.30",88,347274.4,166691.36
SO - 0002269,Online,WARE-PUJ1005,27-Oct-2018,6-Feb-2019,4-Mar-2019,13-Mar-2019,9,USD,18,24,295,23,1,0.05,"2,596.85","5,299.70",88,466373.6,228522.8
SO - 0002270,In-Store,WARE-NMK1003,27-Oct-2018,6-Feb-2019,2-Mar-2019,5-Mar-2019,3,USD,8,37,202,15,6,0.15,"1,442.71","2,365.10",88,208128.8,126958.48
SO - 0002271,Distributor,WARE-XYS1001,27-Oct-2018,6-Feb-2019,8-Feb-2019,16-Feb-2019,8,USD,23,6,47,5,3,0.15,120.6,268,88,23584,10612.8
SO - 0002272,Wholesale,WARE-NMK1003,27-Oct-2018,6-Feb-2019,9-Feb-2019,18-Feb-2019,9,USD,27,22,136,28,8,0.075,785.91,"1,139.00",88,100232,69160.08
SO - 0002273,Distributor,WARE-NMK1003,27-Oct-2018,6-Feb-2019,14-Feb-2019,15-Feb-2019,1,USD,25,19,148,21,6,0.05,751.74,"1,139.00",88,100232,66153.12
SO - 0002274,Online,WARE-MKL1006,27-Oct-2018,6-Feb-2019,20-Feb-2019,27-Feb-2019,7,USD,18,13,352,7,2,0.3,148.74,247.9,88,21815.2,13089.12
SO - 0002275,Online,WARE-NMK1003,27-Oct-2018,6-Feb-2019,28-Feb-2019,6-Mar-2019,6,USD,15,14,190,36,5,0.4,"1,806.05","3,926.20",88,345505.6,158932.4
SO - 0002276,Online,WARE-UHY1004,27-Oct-2018,6-Feb-2019,25-Feb-2019,5-Mar-2019,8,USD,14,8,218,22,8,0.05,712.88,938,88,82544,62733.44
SO - 0002277,In-Store,WARE-PUJ1005,27-Oct-2018,7-Feb-2019,24-Feb-2019,6-Mar-2019,10,USD,5,44,297,31,6,0.075,"2,417.03","3,718.50",88,327228,212698.64
SO - 0002278,In-Store,WARE-PUJ1005,27-Oct-2018,7-Feb-2019,22-Feb-2019,24-Feb-2019,2,USD,6,50,281,17,4,0.05,"1,335.04","2,472.30",88,217562.4,117483.52
SO - 0002279,Wholesale,WARE-NMK1003,27-Oct-2018,7-Feb-2019,2-Mar-2019,5-Mar-2019,3,USD,26,21,100,45,5,0.05,"3,080.66","5,601.20",88,492905.6,271098.08
SO - 0002280,Online,WARE-XYS1001,27-Oct-2018,7-Feb-2019,16-Feb-2019,20-Feb-2019,4,USD,16,39,24,33,3,0.3,"1,861.06","3,959.70",88,348453.6,163773.28
SO - 0002281,Online,WARE-NMK1003,27-Oct-2018,7-Feb-2019,19-Feb-2019,20-Feb-2019,1,USD,18,1,155,34,5,0.15,720.92,"1,802.30",88,158602.4,63440.96
SO - 0002282,In-Store,WARE-XYS1001,27-Oct-2018,7-Feb-2019,27-Feb-2019,1-Mar-2019,2,USD,3,39,30,7,3,0.05,"1,596.34","2,418.70",88,212845.6,140477.92
SO - 0002283,Distributor,WARE-XYS1001,27-Oct-2018,7-Feb-2019,10-Feb-2019,14-Feb-2019,4,USD,21,37,40,41,6,0.05,"1,065.84","1,299.80",88,114382.4,93793.92
SO - 0002284,Distributor,WARE-NMK1003,27-Oct-2018,7-Feb-2019,18-Feb-2019,26-Feb-2019,8,USD,21,4,169,20,6,0.1,682.53,"1,118.90",88,98463.2,60062.64
SO - 0002285,In-Store,WARE-PUJ1005,27-Oct-2018,7-Feb-2019,14-Feb-2019,19-Feb-2019,5,USD,8,29,290,27,6,0.1,"1,573.16","3,932.90",88,346095.2,138438.08
SO - 0002286,Distributor,WARE-UHY1004,27-Oct-2018,7-Feb-2019,28-Feb-2019,1-Mar-2019,1,USD,21,2,212,38,1,0.075,95.07,221.1,88,19456.8,8366.16
SO - 0002287,In-Store,WARE-XYS1001,27-Oct-2018,7-Feb-2019,6-Mar-2019,10-Mar-2019,4,USD,4,24,30,22,2,0.1,93.8,187.6,88,16508.8,8254.4
SO - 0002288,Distributor,WARE-NMK1003,27-Oct-2018,8-Feb-2019,8-Mar-2019,18-Mar-2019,10,USD,23,34,152,8,7,0.05,"1,324.26","2,244.50",88,197516,116534.88
SO - 0002289,Online,WARE-UHY1004,27-Oct-2018,8-Feb-2019,8-Mar-2019,10-Mar-2019,2,USD,18,35,206,41,7,0.3,"1,799.75","2,432.10",88,214024.8,158378
SO - 0002290,In-Store,WARE-UHY1004,27-Oct-2018,8-Feb-2019,19-Feb-2019,25-Feb-2019,6,USD,7,7,225,22,5,0.05,"3,337.94","6,298.00",88,554224,293738.72
SO - 0002291,In-Store,WARE-NBV1002,27-Oct-2018,8-Feb-2019,13-Feb-2019,21-Feb-2019,8,USD,3,3,63,6,8,0.05,"1,476.35","2,271.30",88,199874.4,129918.8
SO - 0002292,Distributor,WARE-PUJ1005,27-Oct-2018,8-Feb-2019,3-Mar-2019,12-Mar-2019,9,USD,23,25,292,20,8,0.05,"2,785.86","3,979.80",88,350222.4,245155.68
SO - 0002293,In-Store,WARE-UHY1004,27-Oct-2018,8-Feb-2019,20-Feb-2019,23-Feb-2019,3,USD,11,36,255,27,4,0.4,166.43,241.2,88,21225.6,14645.84
SO - 0002294,In-Store,WARE-UHY1004,27-Oct-2018,8-Feb-2019,18-Feb-2019,19-Feb-2019,1,USD,3,44,231,11,1,0.2,439.52,"1,098.80",88,96694.4,38677.76
SO - 0002295,In-Store,WARE-XYS1001,27-Oct-2018,8-Feb-2019,19-Feb-2019,21-Feb-2019,2,USD,12,34,43,18,7,0.15,"1,468.91","2,331.60",88,205180.8,129264.08
SO - 0002296,In-Store,WARE-NBV1002,27-Oct-2018,8-Feb-2019,16-Feb-2019,19-Feb-2019,3,USD,10,18,81,9,5,0.05,"2,406.37","2,934.60",88,258244.8,211760.56
SO - 0002297,Online,WARE-MKL1006,27-Oct-2018,9-Feb-2019,9-Mar-2019,10-Mar-2019,1,USD,12,12,332,44,4,0.1,"1,377.45","1,788.90",88,157423.2,121215.6
SO - 0002298,In-Store,WARE-PUJ1005,27-Oct-2018,9-Feb-2019,12-Feb-2019,17-Feb-2019,5,USD,5,13,293,23,7,0.05,"2,583.25","3,075.30",88,270626.4,227326
SO - 0002299,Distributor,WARE-NMK1003,27-Oct-2018,9-Feb-2019,12-Feb-2019,16-Feb-2019,4,USD,24,45,173,42,2,0.05,"1,422.48","2,257.90",88,198695.2,125178.24
SO - 0002300,In-Store,WARE-PUJ1005,27-Oct-2018,9-Feb-2019,24-Feb-2019,2-Mar-2019,6,USD,8,44,300,2,8,0.15,612.05,971.5,88,85492,53860.4
SO - 0002301,In-Store,WARE-NMK1003,27-Oct-2018,9-Feb-2019,2-Mar-2019,7-Mar-2019,5,USD,4,24,135,25,1,0.075,"2,482.42","3,705.10",88,326048.8,218452.96
SO - 0002302,Distributor,WARE-MKL1006,27-Oct-2018,9-Feb-2019,8-Mar-2019,12-Mar-2019,4,USD,25,25,330,23,6,0.075,110.95,241.2,88,21225.6,9763.6
SO - 0002303,Online,WARE-MKL1006,27-Oct-2018,9-Feb-2019,21-Feb-2019,24-Feb-2019,3,USD,15,31,352,35,4,0.15,"2,529.92","3,953.00",88,347864,222632.96
SO - 0002304,In-Store,WARE-NMK1003,27-Oct-2018,10-Feb-2019,3-Mar-2019,8-Mar-2019,5,USD,10,30,90,13,5,0.075,337.68,844.2,88,74289.6,29715.84
SO - 0002305,Wholesale,WARE-UHY1004,27-Oct-2018,10-Feb-2019,13-Feb-2019,14-Feb-2019,1,USD,26,39,248,36,3,0.075,"1,737.85","2,633.10",88,231712.8,152930.8
SO - 0002306,Online,WARE-NMK1003,27-Oct-2018,10-Feb-2019,23-Feb-2019,25-Feb-2019,2,USD,17,15,171,7,1,0.05,"1,412.49","1,701.80",88,149758.4,124299.12
SO - 0002307,Online,WARE-XYS1001,27-Oct-2018,10-Feb-2019,22-Feb-2019,4-Mar-2019,10,USD,12,17,12,44,4,0.075,78.73,167.5,88,14740,6928.24
SO - 0002308,Online,WARE-MKL1006,27-Oct-2018,10-Feb-2019,5-Mar-2019,13-Mar-2019,8,USD,15,23,349,20,4,0.15,"1,236.82","2,378.50",88,209308,108840.16
SO - 0002309,Wholesale,WARE-XYS1001,27-Oct-2018,10-Feb-2019,19-Feb-2019,27-Feb-2019,8,USD,25,27,14,19,7,0.05,733.52,"1,078.70",88,94925.6,64549.76
SO - 0002310,Online,WARE-NBV1002,27-Oct-2018,10-Feb-2019,17-Feb-2019,21-Feb-2019,4,USD,14,17,67,9,1,0.05,"1,888.19","2,452.20",88,215793.6,166160.72
SO - 0002311,Online,WARE-UHY1004,27-Oct-2018,10-Feb-2019,4-Mar-2019,14-Mar-2019,10,USD,15,25,259,9,5,0.075,"1,519.09","1,922.90",88,169215.2,133679.92
SO - 0002312,In-Store,WARE-UHY1004,27-Oct-2018,10-Feb-2019,10-Mar-2019,15-Mar-2019,5,USD,2,15,255,42,1,0.4,"3,859.07","6,224.30",88,547738.4,339598.16
SO - 0002313,Wholesale,WARE-PUJ1005,27-Oct-2018,11-Feb-2019,25-Feb-2019,1-Mar-2019,4,USD,28,10,271,27,4,0.15,994.28,"1,876.00",88,165088,87496.64
SO - 0002314,In-Store,WARE-NMK1003,27-Oct-2018,11-Feb-2019,27-Feb-2019,4-Mar-2019,5,USD,10,4,190,17,5,0.05,"2,774.07","6,304.70",88,554813.6,244118.16
SO - 0002315,Distributor,WARE-UHY1004,27-Oct-2018,11-Feb-2019,27-Feb-2019,3-Mar-2019,4,USD,21,17,236,45,4,0.1,569.23,964.8,88,84902.4,50092.24
SO - 0002316,In-Store,WARE-NMK1003,27-Oct-2018,11-Feb-2019,26-Feb-2019,1-Mar-2019,3,USD,7,43,116,43,2,0.15,"2,780.70","3,611.30",88,317794.4,244701.6
SO - 0002317,In-Store,WARE-PUJ1005,27-Oct-2018,11-Feb-2019,13-Feb-2019,19-Feb-2019,6,USD,5,31,306,36,3,0.075,633.15,"1,005.00",88,88440,55717.2
SO - 0002318,Distributor,WARE-UHY1004,27-Oct-2018,11-Feb-2019,2-Mar-2019,4-Mar-2019,2,USD,24,38,225,8,2,0.15,"1,201.38","2,793.90",88,245863.2,105721.44
SO - 0002319,In-Store,WARE-NMK1003,27-Oct-2018,11-Feb-2019,1-Mar-2019,10-Mar-2019,9,USD,12,34,173,30,3,0.05,646.68,850.9,88,74879.2,56907.84
SO - 0002320,In-Store,WARE-PUJ1005,27-Oct-2018,11-Feb-2019,7-Mar-2019,13-Mar-2019,6,USD,5,44,272,40,5,0.075,"1,913.52","2,278.00",88,200464,168389.76
SO - 0002321,Wholesale,WARE-XYS1001,27-Oct-2018,11-Feb-2019,19-Feb-2019,28-Feb-2019,9,USD,28,33,38,17,7,0.15,655.26,"1,092.10",88,96104.8,57662.88
SO - 0002322,Wholesale,WARE-NMK1003,27-Oct-2018,11-Feb-2019,24-Feb-2019,6-Mar-2019,10,USD,27,33,159,26,4,0.05,"3,578.14","6,505.70",88,572501.6,314876.32
SO - 0002323,Distributor,WARE-NMK1003,27-Oct-2018,12-Feb-2019,15-Feb-2019,16-Feb-2019,1,USD,24,13,134,7,5,0.05,495.26,"1,125.60",88,99052.8,43582.88
SO - 0002324,Distributor,WARE-NMK1003,27-Oct-2018,12-Feb-2019,9-Mar-2019,15-Mar-2019,6,USD,24,25,91,22,8,0.15,559.58,"1,165.80",88,102590.4,49243.04
SO - 0002325,In-Store,WARE-NMK1003,27-Oct-2018,12-Feb-2019,6-Mar-2019,7-Mar-2019,1,USD,7,47,97,9,5,0.05,674.96,978.2,88,86081.6,59396.48
SO - 0002326,Online,WARE-XYS1001,27-Oct-2018,12-Feb-2019,21-Feb-2019,28-Feb-2019,7,USD,19,31,54,4,8,0.075,"1,578.25","3,035.10",88,267088.8,138886
SO - 0002327,In-Store,WARE-PUJ1005,27-Oct-2018,12-Feb-2019,9-Mar-2019,10-Mar-2019,1,USD,11,7,322,31,4,0.075,167.23,214.4,88,18867.2,14716.24
SO - 0002328,Online,WARE-MKL1006,27-Oct-2018,12-Feb-2019,5-Mar-2019,12-Mar-2019,7,USD,12,44,365,40,3,0.075,709.13,"1,125.60",88,99052.8,62403.44
SO - 0002329,In-Store,WARE-NMK1003,27-Oct-2018,12-Feb-2019,24-Feb-2019,27-Feb-2019,3,USD,5,3,153,23,2,0.1,"3,284.94","5,567.70",88,489957.6,289074.72
SO - 0002330,Wholesale,WARE-PUJ1005,27-Oct-2018,12-Feb-2019,10-Mar-2019,15-Mar-2019,5,USD,28,40,284,10,7,0.075,70.35,167.5,88,14740,6190.8
SO - 0002331,In-Store,WARE-XYS1001,27-Oct-2018,12-Feb-2019,9-Mar-2019,14-Mar-2019,5,USD,10,18,6,30,1,0.2,"1,111.66","1,822.40",88,160371.2,97826.08
SO - 0002332,Wholesale,WARE-PUJ1005,27-Oct-2018,12-Feb-2019,11-Mar-2019,12-Mar-2019,1,USD,28,6,284,9,2,0.4,"2,632.56","5,983.10",88,526512.8,231665.28
SO - 0002333,Online,WARE-PUJ1005,27-Oct-2018,12-Feb-2019,6-Mar-2019,12-Mar-2019,6,USD,16,37,271,43,2,0.1,"1,135.45","1,802.30",88,158602.4,99919.6
SO - 0002334,In-Store,WARE-XYS1001,27-Oct-2018,12-Feb-2019,6-Mar-2019,9-Mar-2019,3,USD,3,36,26,40,7,0.075,"2,481.95","3,939.60",88,346684.8,218411.6
SO - 0002335,Online,WARE-UHY1004,27-Oct-2018,13-Feb-2019,19-Feb-2019,24-Feb-2019,5,USD,15,50,210,4,1,0.075,311.28,676.7,88,59549.6,27392.64
SO - 0002336,In-Store,WARE-XYS1001,27-Oct-2018,13-Feb-2019,18-Feb-2019,20-Feb-2019,2,USD,3,20,11,2,7,0.075,"1,452.02","3,457.20",88,304233.6,127777.76
SO - 0002337,In-Store,WARE-NMK1003,27-Oct-2018,14-Feb-2019,6-Mar-2019,10-Mar-2019,4,USD,9,29,170,6,5,0.15,"4,658.91","5,681.60",88,499980.8,409984.08
SO - 0002338,Distributor,WARE-UHY1004,27-Oct-2018,14-Feb-2019,3-Mar-2019,13-Mar-2019,10,USD,22,23,248,12,3,0.075,178.22,254.6,88,22404.8,15683.36
SO - 0002339,Wholesale,WARE-UHY1004,27-Oct-2018,14-Feb-2019,5-Mar-2019,13-Mar-2019,8,USD,25,14,253,2,6,0.05,"2,831.89","3,879.30",88,341378.4,249206.32
SO - 0002340,In-Store,WARE-XYS1001,27-Oct-2018,14-Feb-2019,4-Mar-2019,6-Mar-2019,2,USD,3,16,47,37,1,0.05,"1,776.44","3,289.70",88,289493.6,156326.72
SO - 0002341,In-Store,WARE-XYS1001,27-Oct-2018,14-Feb-2019,23-Feb-2019,25-Feb-2019,2,USD,7,38,19,10,7,0.05,104.79,227.8,88,20046.4,9221.52
SO - 0002342,In-Store,WARE-NMK1003,27-Oct-2018,14-Feb-2019,24-Feb-2019,28-Feb-2019,4,USD,5,13,182,5,3,0.075,"1,731.95","3,685.00",88,324280,152411.6
SO - 0002343,In-Store,WARE-UHY1004,27-Oct-2018,14-Feb-2019,14-Mar-2019,15-Mar-2019,1,USD,9,3,260,19,6,0.05,"1,724.58","3,832.40",88,337251.2,151763.04
SO - 0002344,In-Store,WARE-PUJ1005,27-Oct-2018,14-Feb-2019,6-Mar-2019,10-Mar-2019,4,USD,12,31,319,18,3,0.1,181.3,221.1,88,19456.8,15954.4
SO - 0002345,In-Store,WARE-UHY1004,27-Oct-2018,14-Feb-2019,10-Mar-2019,18-Mar-2019,8,USD,3,9,247,37,8,0.05,"1,172.97","1,922.90",88,169215.2,103221.36
SO - 0002346,Online,WARE-NMK1003,27-Oct-2018,14-Feb-2019,9-Mar-2019,18-Mar-2019,9,USD,20,13,129,34,1,0.05,453.05,984.9,88,86671.2,39868.4
SO - 0002347,Distributor,WARE-NBV1002,27-Oct-2018,15-Feb-2019,5-Mar-2019,8-Mar-2019,3,USD,22,27,87,41,3,0.05,776.6,"1,159.10",88,102000.8,68340.8
SO - 0002348,Wholesale,WARE-NMK1003,27-Oct-2018,15-Feb-2019,5-Mar-2019,12-Mar-2019,7,USD,27,1,93,9,3,0.2,143.72,261.3,88,22994.4,12647.36
SO - 0002349,Online,WARE-PUJ1005,27-Oct-2018,15-Feb-2019,6-Mar-2019,16-Mar-2019,10,USD,20,38,326,44,8,0.1,"1,181.88","1,688.40",88,148579.2,104005.44
SO - 0002350,In-Store,WARE-PUJ1005,27-Oct-2018,15-Feb-2019,13-Mar-2019,22-Mar-2019,9,USD,9,23,318,37,6,0.1,486.42,884.4,88,77827.2,42804.96
SO - 0002351,Distributor,WARE-NMK1003,27-Oct-2018,16-Feb-2019,16-Mar-2019,17-Mar-2019,1,USD,25,11,172,14,6,0.2,621.89,797.3,88,70162.4,54726.32
SO - 0002352,In-Store,WARE-NMK1003,27-Oct-2018,16-Feb-2019,3-Mar-2019,9-Mar-2019,6,USD,5,17,181,13,1,0.15,626.45,"1,139.00",88,100232,55127.6
